in_degree,pagerank,betweenness
119,0.0005946594564147064,0.00045489814586239136
51,0.0003879272647569936,0.0036937216861088126
42,0.00034583768503626745,0.0005496344366504589
35,0.0003182426579387828,0.0005617623551283727
23,0.0003156419491416997,0.00036255360347998945
33,0.00031247154676811254,0.0001443440172842119
30,0.0003088536779226924,0.0
29,0.00030742639372534846,0.0004397089653274509
30,0.0003050598761631105,0.0006039203590335001
29,0.0003027553285300324,0.0
29,0.00030268053350463494,0.0003645549495388786
29,0.0003026057384792374,0.0
29,0.00030255587512897236,0.0
29,0.00030213203665171973,0.0051157329731433
29,0.00030200737827605715,0.00011285787654907185
29,0.0003014838130982745,0.0
28,0.0002995636958107881,0.0
28,0.0002993385154658512,0.0
28,0.0002991647890086679,4.883383812314197e-05
22,0.00029838723942405795,0.0
26,0.0002981677265690613,0.00033340430566981203
27,0.0002966961748682663,3.503043312504895e-05
27,0.00029660690338634017,0.0006561437291946072
27,0.00029660690338634017,0.0003801022232962627
27,0.00029660690338634017,0.00026990259238627163
